"","N","P","K","Ca","Mg","S","Al","Fe","Mn","Zn","Mo","Baresoil","Humdepth","pH"
"N",30.5597101449275,-20.7521014492754,-52.5625362318841,-364.767173913044,-37.1298550724638,-16.9153623188406,-29.374347826087,55.179347826087,14.8526811594203,-2.18007246376812,-0.0765942028985508,9.62611594202898,0.279130434782609,-0.0498550724637683
"P",-20.7521014492754,223.394764492754,730.819329710145,2683.93135869565,366.519528985507,131.269384057971,82.7646739130435,-115.308423913044,271.674547101449,31.322518115942,0.618605072463768,3.41341666666667,1.51260869565217,-0.0940579710144931
"K",-52.5625362318841,730.819329710145,4204.53172101449,10500.5985326087,1669.38213768116,638.371557971015,944.663804347826,-368.95777173913,1181.87085144928,116.099692028985,1.06121376811594,179.678721014493,11.465652173913,-3.23101449275363
"Ca",-364.767173913044,2683.93135869565,10500.5985326087,59332.1720108696,7974.4875,1533.40967391304,-6133.72184782609,-4890.87733695652,3661.87548913043,492.510706521739,-9.15538043478261,711.932228260869,39.4443478260869,4.76565217391305
"Mg",-37.1298550724638,366.519528985507,1669.38213768116,7974.4875,1681.93036231884,311.232246376812,-593.94847826087,-501.314673913043,358.23518115942,86.5963405797101,0.342427536231884,160.872137681159,10.1234782608696,-0.812028985507246
"S",-16.9153623188406,131.269384057971,638.371557971015,1533.40967391304,311.232246376812,136.138188405797,513.441086956522,39.8579347826087,108.642862318841,24.7299637681159,1.21061594202899,15.5026014492754,1.22695652173913,-0.466666666666667
"Al",-29.374347826087,82.7646739130435,944.663804347826,-6133.72184782609,-593.94847826087,513.441086956522,14962.2776086957,6094.35206521739,-1951.60010869565,-20.1135869565217,14.9798913043478,-803.448195652174,-40.1839130434783,10.9373913043478
"Fe",55.179347826087,-115.308423913044,-368.95777173913,-4890.87733695652,-501.314673913043,39.8579347826087,6094.35206521739,3654.0689673913,-893.849510869565,-56.2877717391304,3.20005434782609,-454.602076086957,-19.8547826086957,5.69826086956522
"Mn",14.8526811594203,271.674547101449,1181.87085144928,3661.87548913043,358.23518115942,108.642862318841,-1951.60010869565,-893.849510869565,1149.97867753623,36.8796920289855,-1.66813405797101,137.239155797101,11.5008695652174,-2.82014492753623
"Zn",-2.18007246376812,31.322518115942,116.099692028985,492.510706521739,86.5963405797101,24.7299637681159,-20.1135869565217,-56.2877717391304,36.8796920289855,8.90389492753623,0.201938405797102,2.1831268115942,0.27695652173913,-0.0555072463768116
"Mo",-0.0765942028985508,0.618605072463768,1.06121376811594,-9.15538043478261,0.342427536231884,1.21061594202899,14.9798913043478,3.20005434782609,-1.66813405797101,0.201938405797102,0.0575905797101449,0.123257246376812,0.00934782608695652,-0.00898550724637682
"Baresoil",9.62611594202898,3.41341666666667,179.678721014493,711.932228260869,160.872137681159,15.5026014492754,-803.448195652174,-454.602076086957,137.239155797101,2.1831268115942,0.123257246376812,270.255347101449,6.47317391304348,-1.87097101449275
"Humdepth",0.279130434782609,1.51260869565217,11.465652173913,39.4443478260869,10.1234782608696,1.22695652173913,-40.1839130434783,-19.8547826086957,11.5008695652174,0.27695652173913,0.00934782608695652,6.47317391304348,0.441739130434783,-0.102608695652174
"pH",-0.0498550724637683,-0.0940579710144931,-3.23101449275363,4.76565217391305,-0.812028985507246,-0.466666666666667,10.9373913043478,5.69826086956522,-2.82014492753623,-0.0555072463768116,-0.00898550724637682,-1.87097101449275,-0.102608695652174,0.0457971014492754
